,Datetime,n_spawn,route,spawn_delay,Adjusted_Datetime,Stops
1,2024-03-04 04:27:00,1.0,route_101,0,2024-03-04 04:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
2,2024-03-04 04:57:00,1.0,route_101,0,2024-03-04 04:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
3,2024-03-04 05:12:00,1.0,route_101,0,2024-03-04 05:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
4,2024-03-04 05:27:00,1.0,route_101,0,2024-03-04 05:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
5,2024-03-04 05:42:00,1.0,route_101,0,2024-03-04 05:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
6,2024-03-04 05:57:00,1.0,route_101,0,2024-03-04 05:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
7,2024-03-04 06:12:00,1.0,route_101,0,2024-03-04 06:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
8,2024-03-04 06:27:00,1.0,route_101,0,2024-03-04 06:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
9,2024-03-04 06:42:00,1.0,route_101,0,2024-03-04 06:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
10,2024-03-04 06:57:00,1.0,route_101,0,2024-03-04 06:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
11,2024-03-04 07:12:00,1.0,route_101,0,2024-03-04 07:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
12,2024-03-04 07:27:00,1.0,route_101,0,2024-03-04 07:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
13,2024-03-04 07:42:00,1.0,route_101,0,2024-03-04 07:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
14,2024-03-04 07:57:00,1.0,route_101,0,2024-03-04 07:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
15,2024-03-04 08:12:00,1.0,route_101,0,2024-03-04 08:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
16,2024-03-04 08:27:00,1.0,route_101,0,2024-03-04 08:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
17,2024-03-04 08:42:00,1.0,route_101,0,2024-03-04 08:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
18,2024-03-04 08:57:00,1.0,route_101,0,2024-03-04 08:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
19,2024-03-04 09:12:00,1.0,route_101,0,2024-03-04 09:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
20,2024-03-04 09:27:00,1.0,route_101,0,2024-03-04 09:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
21,2024-03-04 09:42:00,1.0,route_101,0,2024-03-04 09:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
22,2024-03-04 09:57:00,1.0,route_101,0,2024-03-04 09:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
23,2024-03-04 10:12:00,1.0,route_101,0,2024-03-04 10:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
24,2024-03-04 10:27:00,1.0,route_101,0,2024-03-04 10:27:00,bs_0-bs_17-bs_2-bs_3-bs_4
25,2024-03-04 10:42:00,1.0,route_101,0,2024-03-04 10:42:00,bs_0-bs_17-bs_2-bs_3-bs_4
26,2024-03-04 10:57:00,1.0,route_101,0,2024-03-04 10:57:00,bs_0-bs_17-bs_2-bs_3-bs_4
27,2024-03-04 11:12:00,1.0,route_101,0,2024-03-04 11:12:00,bs_0-bs_17-bs_2-bs_3-bs_4
